Name,ID,Zip,County,Address,Latitude,Longitude
Portland Cement - CEM II 42.5 NAM-SLV,ec348yrm,72,,2 Hahazon Street 7252901 Ramle,31.92768,34.88154
Portland cement - CEM I 52.5 N,ec3kxyan,72,,2 Hahazon Street 7252901 Ramle,31.92768,34.88154
Finnsementti Parainen Pika,ec37st35,,,Finland,64.51988983154297,26.282997131347656
Portland cement - CEM II 42.5 NB-LL,ec310b96,72,,2 Hahazon Street 7252901 Ramle,31.92768,34.88154
Finnsementti Parainen Rapid,ec3x4113,,,Finland,64.51988983154297,26.282997131347656
Finnsementti Parainen Oiva,ec3phur5,,,Finland,64.51988983154297,26.282997131347656
Finnsementti Lappeenranta Rapid,ec3bwd6z,,,Finland,64.51988983154297,26.282997131347656
Finnsementti Lappeenranta Oiva,ec3th9a5,,,Finland,64.51988983154297,26.282997131347656
Finnsementti Lappeenranta Pika,ec3qxpy8,,,Finland,64.51988983154297,26.282997131347656
Finnsementti Lappeenranta SR,ec3aqw35,,,Finland,64.51988983154297,26.282997131347656
S-P-11978 Sigma Renova Isotop Primer,ec3w8y7n,WF17,West Yorkshire,"Huddersfield Road, Batley (Birstall)",53.72861,-1.66194
S-P-08801 ASTM Type I/II Cement,ec30psbz,,,Turkey,38.98909378051758,35.43324279785156
"#split S-P-08809 CEM II A/LL 42,5 R Cement",ec388h5a,,,Turkey,38.98909378051758,35.43324279785156
"S-P-08808 CEM II/B-S 42,5 R Cemen",ec3cf10n,,,Turkey,38.98909378051758,35.43324279785156
S-P-10726 Oil Well Cement,ec37nt9x,,,Turkey,38.98909378051758,35.43324279785156
S-P-08800 Portland Cement Clinker,ec3xuq6h,,,Turkey,38.98909378051758,35.43324279785156
S-P-10727 CEM V/A (S-P) 32.5 N Cement,ec334bbc,,,Turkey,38.98909378051758,35.43324279785156
S-P-08805 CEM I 42.5R SR5 Cement,ec3e5hs8,,,Turkey,38.98909378051758,35.43324279785156
#split S-P-08804 CEM I 42.5R Cement,ec39e3rw,,,Turkey,38.98909378051758,35.43324279785156
