ID,name,gwp,declared_unit,category
ec35nnwt,Colorline Acoustic Products,3.07 kgCO2e,1 m2,Acoustical_Ceilings
ec3fegd4,"S-P-06470 Aluminum wound, Mineral oil filled Transformer – 8178 E",16382.20406 kgCO2e,,Aluminium
ec3rgxrh,S-P-06491 PRIMARY ALUMINIUM,24600 kgCO2e,1.0 t,Aluminium_Billets
ec3cp4w3,"S-P-09819 Construction Product (Roofing Underlayment, Building Wrap & Flashing Tape)",3.51 kgCO2e,1.0 kg,Aluminium_Sheet_Goods
ec3e7wfx,S-P-06476 Clay Products,47.9 kgCO2e,1.0 t,Brick
ec3b98c5,Carpet Tile,22.728 kgCO2e,1 m2,Carpet
ec3pk6u4,Wall to wall carpet,8.51 kgCO2e,1 m2,Carpet
ec3j0emy,Walltec facade panel for external walls,18.0891 kgCO2e,1.0 item,Clothing
ec382f2n,Steel-Hot Rolled Coil,2550 kgCO2e,1 t,Coil_Steel
ec3heahz,Sikafill®-400,2.37 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec3h0dqj,Sika® CoolRoof CET/ Sikalastic®-560 1 mm,2.37 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec3mq8h4,Sika® CoolRoof PUD,5.55 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec391mjh,Sika® CoolRoof i-Cure/ SikaRoof® i-Cure,8.83 kgCO2e,1 m2,Dampproofing_And_Waterproofing
ec3rzu1n,S-P-08345 OTIS GEN3 MACHINE ROOM LESS ELEVATOR,23.3 kgCO2e,1 tkm,Elevators
ec3698gf,Schindler 5000 X - Rope,1.24 kgCO2e,1 tkm,Elevators
ec38z5d3,10 mm PARSOL,38.9 kgCO2e,25 kg,Flat_Glass_Panes
ec3ww9sr,10 mm PLANILUX,32.4 kgCO2e,25 kg,Flat_Glass_Panes
ec34cn41,12 mm PARSOL,46.6 kgCO2e,30 kg,Flat_Glass_Panes
ec3ffyaa,12 mm PLANILUX,38.9 kgCO2e,30 kg,Flat_Glass_Panes
ec39ruke,12 mm thickness Float Glass,38.7 kgCO2e,30 kg,Flat_Glass_Panes
ec3fqbef,2 mm PLANILUX,6.48 kgCO2e,5 kg,Flat_Glass_Panes
ec3ed6u4,3 mm PARSOL,11.7 kgCO2e,7.5 kg,Flat_Glass_Panes
ec3ns8hn,3 mm PLANILUX,9.72 kgCO2e,7.5 kg,Flat_Glass_Panes
ec321k9m,3 mm REFLECTASOL on PLANILUX,9.72 kgCO2e,7.5 kg,Flat_Glass_Panes
ec3gjcry,3.5 mm PARSOL,13.6 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3bmejc,3.5 mm PLANILUX,11.3 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3butdh,3.5 mm REFLECTASOL on PARSOL,13.6 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3u36g8,3.5 mm thickness Float Glass,11.3 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3j7ycw,4 mm PARSOL,15.5 kgCO2e,10 kg,Flat_Glass_Panes
ec3pdqxw,4 mm PLANILUX,13 kgCO2e,10 kg,Flat_Glass_Panes
ec30khkj,4 mm thickness Float Glass,12.9 kgCO2e,10 kg,Flat_Glass_Panes
ec3sfmpb,5 mm PARSOL,19.4 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3816xc,5 mm PLANILUX,16.2 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3a74eh,5 mm REFLECTASOL on PARSOL,19.4 kgCO2e,12.5 kg,Flat_Glass_Panes
ec354unr,5 mm thickness Float Glass,16.1 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3qfmfa,6 mm PARSOL,23.3 kgCO2e,15 kg,Flat_Glass_Panes
ec3gkzyu,6 mm PLANILUX,19.4 kgCO2e,15 kg,Flat_Glass_Panes
ec392ntc,6 mm REFLECTASOL on PARSOL,23.3 kgCO2e,15 kg,Flat_Glass_Panes
ec336f0w,6 mm thickness Float Glass,19.3 kgCO2e,15 kg,Flat_Glass_Panes
ec3burec,8 mm PARSOL,31.1 kgCO2e,20 kg,Flat_Glass_Panes
ec35nqk0,8 mm PLANILUX,25.9 kgCO2e,20 kg,Flat_Glass_Panes
ec3y0wfj,8 mm thickness Float Glass,25.8 kgCO2e,20 kg,Flat_Glass_Panes
ec3jfy87,S-P-09223 SGG PARSOL® 6 mm,20.5 kgCO2e,1.0 m2,Flat_Glass_Panes
ec3rdguw,S-P-09810 Magnetron coated glass On SGG PARSOL 4 mm,15.8 kgCO2e,1.0 m2,Flat_Glass_Panes
ec3rmp3d,S-P-09811 Magnetron coated glass on SGG PARSOL 6 mm,22.7 kgCO2e,1.0 m2,Flat_Glass_Panes
ec374t2y,S-P-09221 Compacts (Thick High Pressure Laminates-2.0mm and above),10.1 kgCO2e,1.0 m^2,Food_Beverage
ec3k5q1n,Portland Slag Cement,325.14 kgCO2e,1000 kg,Grouting
ec370jnd,12.5 mm Gypboard® Plain,3.17 kgCO2e,1 m2,Gypsum_Board
ec30eed7,15 mm Gypboard® Plain,3.99 kgCO2e,1 m2,Gypsum_Board
ec3gjtqk,Gypboard Plain Plasterboard,,1 m2,Gypsum_Board
ec35ysj3,Berger ETICS with EPS board (100 mm),14.3 kgCO2e,1 m2,Insulated_Wall_Panels
ec36fe4k,Berger ETICS with EPS board (120 mm),15.8 kgCO2e,1 m2,Insulated_Wall_Panels
ec3385rj,Berger ETICS with EPS board (75 mm),12.4 kgCO2e,1 m2,Insulated_Wall_Panels
ec38yh2q,Berger ETICS with EPS board 50 mm,10.5 kgCO2e,1 m2,Insulated_Wall_Panels
ec35s3tm,Berger ETICS with Mineral-woolboard (100mm),26.1 kgCO2e,1 m2,Insulated_Wall_Panels
ec3j7ukt,Berger ETICS with Mineral-woolboard (120mm),29.9 kgCO2e,1 m2,Insulated_Wall_Panels
ec3f8nur,Berger ETICS with Mineral-woolboard (50mm),16.5 kgCO2e,1 m2,Insulated_Wall_Panels
ec3y9md1,Berger ETICS with Mineral-woolboard (75mm),21.3 kgCO2e,1 m2,Insulated_Wall_Panels
ec3npess,Berger ETICS with XPS board (100 mm),19.7 kgCO2e,1 m2,Insulated_Wall_Panels
ec3zcar5,Berger ETICS with XPS board (120 mm),22.2 kgCO2e,1 m2,Insulated_Wall_Panels
ec3k1722,Berger ETICS with XPS board (50 mm),13.2 kgCO2e,1 m2,Insulated_Wall_Panels
ec385hfp,Berger ETICS with XPS board (75 mm),16.4 kgCO2e,1 m2,Insulated_Wall_Panels
ec3rpdms,Armaflex Endura®,4.6 kgCO2e,1 m2,Mechanical_Insulation
ec31wth4,Armaflex® AMP,4.6 kgCO2e,1 m2,Mechanical_Insulation
ec3awe4x,Armaflex® C1G,5.69 kgCO2e,1 m2,Mechanical_Insulation
ec3mgfeb,Armaflex® Class 0 Plus,4.6 kgCO2e,1 m2,Mechanical_Insulation
ec3u1d74,Armaflex® DS,5.91 kgCO2e,1 m2,Mechanical_Insulation
ec3qebyh,Armaflex® FRV,5.53 kgCO2e,1 m2,Mechanical_Insulation
ec39hsst,Armaflex®Class 0,5.64 kgCO2e,1 m2,Mechanical_Insulation
ec3df2z3,Armaflex®Class 1,5.69 kgCO2e,1 m2,Mechanical_Insulation
ec3ns2ax,#split S-P-12006 Steel door frame,,1.0 t,Metal_Doors_and_Frames
ec3eh97h,Artificial Grass,3.43 kgCO2e,1 m2,Other_Flooring
ec3a5eue,TruFlush Sensor-activated Flushometer (TRF 8156; TRF 8196),27.3 kgCO2e,1 item,Other_Plumbing_Fixtures
ec3e6yyn,Berger Paints (Water-Based),2.0314 kgCO2e,1 m2,Paint_By_Area
ec3je75m,"Acrylic Emulsion Primer (I), Jotun India Private Limited",0.7554342646 kgCO2e,1.0 kg,Paint_By_Mass
