Name,ID,Zip,County,Address,Latitude,Longitude
DGU: CFL30 (5/5) / 16Ar / 44.2,ec309hm6,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
DGU: CFL30 (5/5) / 12Ar / 6T,ec3zk81q,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
DGU: CFL30 (5/5) / 16Ar / 6A,ec3jkemh,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
TGU: CFL30 (5/5) / 12Ar / 6T / 12Ar / 6T,ec3myq12,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
TGU: CFL30 (5/5) / 14Ar / 6T / 14Ar / 6T,ec3kwys5,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM LITE 120 (6/6),ec3d9tya,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM LITE 120 (44.2/5),ec37mq9d,34203,Manatee,"6225 21st Street East, Bradenton, FL 34203",27.43044,-82.53775
DGU: CFL60 (5/5) / 16Ar / 44.2,ec3hb0tp,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
DGU: CFL60 (5/5) / 12Ar / 6T,ec3d2zgu,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CFL 60 (5/5) CLIMAPLUS 6t-12-CFL60,ec3g35qq,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
TGU: CFL60 (5/5) / 12Ar / 6T / 12Ar / 6T,ec34kpcu,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
TGU: CFL60 (5/5) / 14Ar / 6T / 14Ar / 6T,ec31q0qn,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM 90 (5/4/4/5),ec38x4nc,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM 90 (6/5/5/6),ec30mjup,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM 90-4 (5/5/5/5/5),ec3qrckk,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM 90-4 (6/6/6/6/6),ec32sm0d,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM 90-4 (6/5/5/6),ec39gg82,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM 90-4 STADIP (5/4/4/4/44.2),ec33w2nt,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM STRUCTURE 30 (8/6/8),ec3f18mc,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM STRUCTURE 30 STADIP (55.2/5/6),ec3rp05b,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
Risen Energy Bifacial Dual-glass Monocrystalline Photovoltaic Modules,ec3s0fx1,,,"Ta Shan Lu, Ninghai Xian, Ningbo Shi, Zhejiang Sheng, China",29.2817474,121.4314621
CONTRAFLAM STRUCTURE 30 (8/8/8),ec3t57xb,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM STRUCTURE 60 (6/5/5/6),ec34s15n,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM STRUCTURE 60 (8/6/6/8),ec3emks8,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM STRUCTURE 60 STADIP (55.2/5/5/6),ec3q1fkj,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
CONTRAFLAM STRUCTURE 60 (8/8/8/8),ec3q89yx,34203,Manatee,"6225 21st Street East, Bradenton, FL 34203",27.43044,-82.53775
DGU: CF90-4 (5/4/4/4/5) / 16Ar / 44.2,ec3aupta,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
DGU: CF90-4 (5/4/4/4/5) / 12Ar / 6T,ec3kum63,92400,Hauts-de-Seine,"18 Avenue d'Alsace, Courbevoie, 92400",48.89101,2.24947
